trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",20,0,-70.14191210066176,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0}",20,0,-31.942575827534824,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0}",25,0,-142.79658746225715,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0}",20,3,-58.8491115917609,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0}",20,16,10.428658152620633,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0}",25,8,-15.89359337928744,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0}",35,27,15.169195173215204,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0}",20,13,-0.2041593965144224,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0}",30,23,14.856680568277959,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0}",20,0,-88.87592020134556,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0}",25,2,31.068737044376835,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0}",30,0,-24.75770091127064,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0}",20,16,4.7372290060675635,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0}",20,0,17.661349028931685,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0}",25,20,7.855853601035426,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0}",20,13,4.876161455137104,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0}",25,0,-10.776040182575226,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0}",20,8,21.5659755705244,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0}",20,7,9.616554651612017,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0}",20,0,-4.064468931258264,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-8.831667626944244,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,14,9.664391541393478,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,17,14.308592972836792,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,29.655109301069146,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,6,20.019841679641797,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,6,24.915581190211213,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,6,1.1449042286021696,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,19,20.532709861123926,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,19,9.867091011617568,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,6,22.266010637755553,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
